id,tanggal,kecamatan,jumlah_sampah,satuan
127,1/6/2016,Sukasari,1.1,TON
128,1/6/2016,Kiaracondong,2.1,TON
129,1/6/2016,Cibeunying Kidul,1.6,TON
130,1/7/2016,Arcamanik,2.1,TON
131,1/7/2016,Bandung Kidul,2.4,TON
132,1/7/2016,Cinambo,1.2,TON
133,1/7/2016,Sukajadi,1.1,TON
134,1/7/2016,Arcamanik,2.3,TON
135,1/7/2016,Sumur Bandung,2.2,TON
136,1/7/2016,Buahbatu,2.5,TON
137,1/7/2016,Buahbatu,1.6,TON
138,1/7/2016,Sukasari,1.3,TON
139,1/7/2016,Sukajadi,1.3,TON
140,1/7/2016,Cinambo,2.3,TON
141,1/7/2016,Cibeunying Kaler,1.1,TON
142,1/7/2016,Cidadap,1.1,TON
143,1/7/2016,Gedebage,1.3,TON
144,1/7/2016,Cidadap,1.3,TON
145,1/7/2016,Cibeunying Kidul,2.4,TON
146,1/7/2016,Cibiru,1.2,TON
147,1/7/2016,Bojongloa Kidul,1.7,TON
148,1/7/2016,Rancasari,1.5,TON
149,1/7/2016,Mandalajati,2.5,TON
150,1/7/2016,Sumur Bandung,1.9,TON
151,1/7/2016,Bojongloa Kaler,1.7,TON
152,1/7/2016,Cinambo,1.9,TON
153,1/7/2016,Regol,1.3,TON
154,1/7/2016,Bandung Wetan,1.5,TON
155,1/8/2016,Sukasari,2.1,TON
156,1/8/2016,Antapani,2.4,TON
157,1/8/2016,Gedebage,2.1,TON
158,1/8/2016,Lengkong,2.2,TON
159,1/8/2016,Antapani,2.5,TON
160,1/8/2016,Babakan Ciparay,1.2,TON
161,1/8/2016,Batununggal,1.4,TON
162,1/8/2016,Gedebage,2,TON
163,1/8/2016,Panyileukan,1.9,TON
164,1/8/2016,Cibeunying Kidul,2,TON
165,1/8/2016,Ujungberung,1.3,TON
166,1/8/2016,Cicendo,1.5,TON
167,1/8/2016,Bandung Wetan,2.3,TON
168,1/8/2016,Cidadap,1.2,TON
169,1/8/2016,Cinambo,1.9,TON
170,1/8/2016,Cicendo,2.7,TON
171,1/8/2016,Batununggal,1.5,TON
172,1/8/2016,Mandalajati,2.2,TON
173,1/8/2016,Astana Anyar,1.9,TON
174,1/8/2016,Bojongloa Kaler,2.3,TON
175,1/8/2016,Andir,2.5,TON
176,1/8/2016,Cibiru,2.3,TON
177,1/8/2016,Cibiru,2.4,TON
178,1/8/2016,Batununggal,1.9,TON
179,1/8/2016,Lengkong,2.2,TON
180,1/8/2016,Bandung Kidul,1.6,TON
181,1/8/2016,Regol,1.1,TON
182,1/9/2016,Bandung Wetan,2.5,TON
183,1/9/2016,Cibeunying Kaler,1.8,TON
184,1/9/2016,Astana Anyar,1.5,TON
185,1/9/2016,Andir,2,TON
186,1/9/2016,Antapani,1.8,TON
187,1/9/2016,Coblong,1.1,TON
188,1/9/2016,Bojongloa Kidul,1.6,TON
189,1/9/2016,Sumur Bandung,2.4,TON
190,1/9/2016,Regol,2.7,TON
191,1/9/2016,Buahbatu,1.7,TON
192,1/9/2016,Sukasari,1.5,TON
193,1/9/2016,Cicendo,1.2,TON
194,1/9/2016,Kiaracondong,1.6,TON
195,1/9/2016,Panyileukan,1.3,TON
196,1/9/2016,Gedebage,1.4,TON
197,1/9/2016,Cibeunying Kaler,2.5,TON
198,1/9/2016,Bojongloa Kidul,2.4,TON
199,1/9/2016,Arcamanik,1.2,TON
200,1/9/2016,Cibeunying Kidul,2.4,TON
201,1/9/2016,Babakan Ciparay,2.7,TON
202,1/9/2016,Ujungberung,2.4,TON
203,1/9/2016,Bojongloa Kaler,2.4,TON
204,1/9/2016,Regol,1.1,TON
205,1/9/2016,Lengkong,2.7,TON
206,1/9/2016,Bandung Wetan,1.9,TON
207,1/10/2016,Regol,2.4,TON
208,1/10/2016,Gedebage,1.6,TON
209,1/10/2016,Regol,1.3,TON
210,1/10/2016,Bandung Kidul,2.4,TON
211,1/10/2016,Lengkong,1.3,TON
212,1/10/2016,Buahbatu,1.1,TON
213,1/10/2016,Bojongloa Kaler,1.1,TON
214,1/10/2016,Sukasari,1.1,TON
215,1/10/2016,Rancasari,1.9,TON
216,1/10/2016,Sukasari,2.3,TON
217,1/10/2016,Kiaracondong,1.2,TON
218,1/10/2016,Rancasari,1.8,TON
219,1/10/2016,Cibiru,2.1,TON
220,1/10/2016,Bandung Wetan,1.7,TON
221,1/10/2016,Batununggal,1.4,TON
222,1/10/2016,Ujungberung,2.2,TON
223,1/10/2016,Bandung Kulon,1.9,TON
224,1/10/2016,Arcamanik,1.4,TON
225,1/10/2016,Babakan Ciparay,2.4,TON
226,1/10/2016,Cinambo,1.6,TON
227,1/10/2016,Bandung Wetan,2,TON
228,1/10/2016,Panyileukan,1.5,TON
229,1/10/2016,Cidadap,1.6,TON
230,1/10/2016,Babakan Ciparay,1.9,TON
231,1/10/2016,Sukasari,2.2,TON
232,1/11/2016,Rancasari,1.9,TON
233,1/11/2016,Batununggal,1.5,TON
234,1/11/2016,Sukajadi,1.9,TON
235,1/11/2016,Antapani,1.1,TON
236,1/11/2016,Antapani,1.7,TON
237,1/11/2016,Babakan Ciparay,2.2,TON
238,1/11/2016,Sumur Bandung,2.6,TON
239,1/11/2016,Astana Anyar,2.1,TON
240,1/11/2016,Buahbatu,1.4,TON
241,1/11/2016,Regol,1.4,TON
242,1/11/2016,Bandung Kulon,1.9,TON
243,1/11/2016,Ujungberung,1.2,TON
244,1/11/2016,Kiaracondong,1.5,TON
245,1/11/2016,Cicendo,1.8,TON
246,1/11/2016,Cinambo,1.8,TON
247,1/11/2016,Cibiru,2.6,TON
248,1/11/2016,Cibeunying Kidul,1.1,TON
249,1/11/2016,Arcamanik,2,TON
250,1/11/2016,Coblong,2.3,TON
251,1/11/2016,Bojongloa Kaler,2.1,TON
252,1/11/2016,Andir,2.6,TON
253,1/11/2016,Astana Anyar,1.6,TON
254,1/11/2016,Bojongloa Kidul,2,TON
255,1/11/2016,Cibeunying Kaler,2.5,TON
256,1/11/2016,Sukasari,2.3,TON
257,1/11/2016,Lengkong,1.1,TON
258,1/11/2016,Bandung Wetan,2.7,TON
259,1/12/2016,Bojongloa Kaler,1.4,TON
260,1/12/2016,Panyileukan,2.2,TON
261,1/12/2016,Cidadap,2.3,TON
262,1/12/2016,Lengkong,2.1,TON
263,1/12/2016,Sukajadi,2.6,TON
264,1/12/2016,Bojongloa Kidul,2.6,TON
265,1/12/2016,Babakan Ciparay,1.2,TON
266,1/12/2016,Batununggal,2.5,TON
267,1/12/2016,Babakan Ciparay,1.5,TON
268,1/12/2016,Regol,2.6,TON
269,1/12/2016,Panyileukan,2.1,TON
270,1/12/2016,Arcamanik,1.7,TON
271,1/12/2016,Cinambo,2.3,TON
272,1/12/2016,Cibiru,1.2,TON
273,1/12/2016,Gedebage,1.7,TON
274,1/12/2016,Buahbatu,2.6,TON
275,1/12/2016,Cibeunying Kaler,2.6,TON
276,1/12/2016,Sukajadi,2.4,TON
277,1/12/2016,Cibiru,2.3,TON
278,1/12/2016,Rancasari,1.1,TON
279,1/12/2016,Lengkong,2.3,TON
280,1/12/2016,Buahbatu,1.9,TON
281,1/12/2016,Bandung Kulon,2,TON
282,1/13/2016,Mandalajati,2.5,TON
283,1/13/2016,Cibiru,1.2,TON
284,1/13/2016,Cidadap,1.9,TON
285,1/13/2016,Andir,1.4,TON
286,1/13/2016,Bandung Kulon,2.3,TON
287,1/13/2016,Cinambo,1.8,TON
288,1/13/2016,Cinambo,2.1,TON
289,1/13/2016,Bandung Wetan,2.4,TON
290,1/13/2016,Arcamanik,1.6,TON
291,1/13/2016,Andir,2.6,TON
292,1/13/2016,Babakan Ciparay,1.7,TON
293,1/13/2016,Arcamanik,2.3,TON
294,1/13/2016,Bojongloa Kidul,2.3,TON
295,1/13/2016,Bojongloa Kidul,1.6,TON
296,1/13/2016,Panyileukan,2.6,TON
297,1/13/2016,Lengkong,1.4,TON
298,1/13/2016,Gedebage,2,TON
299,1/13/2016,Sukajadi,2.6,TON
300,1/13/2016,Bandung Kulon,1.7,TON
301,1/13/2016,Panyileukan,2.6,TON
302,1/13/2016,Batununggal,1.1,TON
303,1/13/2016,Sumur Bandung,1.7,TON
304,1/13/2016,Babakan Ciparay,1.8,TON
305,1/13/2016,Arcamanik,2.2,TON
306,1/13/2016,Cibeunying Kidul,1.3,TON
307,1/13/2016,Ujungberung,2,TON
308,1/14/2016,Regol,2.4,TON
309,1/14/2016,Babakan Ciparay,2.7,TON
310,1/14/2016,Rancasari,2.1,TON
311,1/14/2016,Cinambo,1.1,TON
312,1/14/2016,Ujungberung,1.2,TON
313,1/14/2016,Cibiru,1.5,TON
314,1/14/2016,Coblong,2.5,TON
315,1/14/2016,Regol,1.7,TON
316,1/14/2016,Bandung Kulon,2.5,TON
317,1/14/2016,Bojongloa Kidul,1.2,TON
318,1/14/2016,Mandalajati,1.8,TON
319,1/14/2016,Astana Anyar,1.5,TON
320,1/14/2016,Gedebage,2.6,TON
321,1/14/2016,Panyileukan,1.9,TON
322,1/14/2016,Buahbatu,1.3,TON
323,1/14/2016,Ujungberung,1.4,TON
324,1/14/2016,Kiaracondong,2.4,TON
325,1/14/2016,Panyileukan,2.5,TON
326,1/14/2016,Sumur Bandung,1.6,TON
327,1/14/2016,Bojongloa Kaler,2,TON
328,1/14/2016,Ujungberung,1.2,TON
329,1/14/2016,Arcamanik,1.1,TON
330,1/14/2016,Rancasari,2.2,TON
331,1/14/2016,Cinambo,2.5,TON
332,1/14/2016,Bandung Wetan,1.1,TON
333,1/15/2016,Coblong,1.7,TON
334,1/15/2016,Bojongloa Kidul,1.3,TON
335,1/15/2016,Rancasari,2.7,TON
336,1/15/2016,Bandung Wetan,1.9,TON
337,1/15/2016,Bandung Kulon,2.5,TON
338,1/15/2016,Bojongloa Kidul,2.6,TON
339,1/15/2016,Cinambo,2.5,TON
340,1/15/2016,Kiaracondong,1.8,TON
341,1/15/2016,Ujungberung,2.3,TON
342,1/15/2016,Bandung Kidul,2.1,TON
343,1/15/2016,Batununggal,1.6,TON
344,1/15/2016,Sumur Bandung,2.4,TON
345,1/15/2016,Cibeunying Kaler,2.4,TON
346,1/15/2016,Panyileukan,2.6,TON
347,1/15/2016,Coblong,2.6,TON
348,1/15/2016,Andir,1.4,TON
349,1/15/2016,Antapani,1.1,TON
350,1/15/2016,Astana Anyar,1.9,TON
351,1/15/2016,Mandalajati,1.1,TON
352,1/15/2016,Ujungberung,1.6,TON
353,1/15/2016,Ujungberung,1.8,TON
354,1/15/2016,Kiaracondong,2.7,TON
355,1/15/2016,Sukasari,2.3,TON
356,1/15/2016,Sukajadi,1.8,TON
357,1/15/2016,Cicendo,2.1,TON
358,1/15/2016,Mandalajati,1.5,TON
359,1/16/2016,Sumur Bandung,1.9,TON
360,1/16/2016,Buahbatu,1.1,TON
361,1/16/2016,Regol,2.4,TON
362,1/16/2016,Rancasari,1.6,TON
363,1/16/2016,Sukasari,2.1,TON
364,1/16/2016,Arcamanik,1.1,TON
365,1/16/2016,Bojongloa Kaler,1.1,TON
366,1/16/2016,Panyileukan,2,TON
367,1/16/2016,Sukajadi,2.4,TON
368,1/16/2016,Mandalajati,2.7,TON
369,1/16/2016,Mandalajati,1.7,TON
370,1/16/2016,Sukasari,1.2,TON
371,1/16/2016,Panyileukan,2.1,TON
372,1/16/2016,Babakan Ciparay,2.5,TON
373,1/16/2016,Bandung Wetan,2.2,TON
374,1/16/2016,Bandung Wetan,1.9,TON
375,1/16/2016,Arcamanik,1.9,TON
376,1/16/2016,Bojongloa Kaler,2,TON
377,1/16/2016,Cicendo,1.5,TON
378,1/16/2016,Buahbatu,1.7,TON
379,1/16/2016,Kiaracondong,1.2,TON
380,1/17/2016,Cibeunying Kaler,1.5,TON
381,1/17/2016,Gedebage,2.3,TON
382,1/17/2016,Bojongloa Kidul,1.4,TON
383,1/17/2016,Buahbatu,2.4,TON
384,1/17/2016,Batununggal,2.6,TON
385,1/17/2016,Bandung Kidul,1.4,TON
386,1/17/2016,Kiaracondong,2.5,TON
387,1/17/2016,Rancasari,1.3,TON
388,1/17/2016,Rancasari,1.9,TON
389,1/17/2016,Regol,1.9,TON
390,1/17/2016,Lengkong,2,TON
391,1/17/2016,Babakan Ciparay,1.2,TON
392,1/17/2016,Gedebage,2.4,TON
393,1/17/2016,Cidadap,1.4,TON
394,1/17/2016,Cicendo,2.1,TON
395,1/17/2016,Panyileukan,2.6,TON
396,1/17/2016,Sumur Bandung,1.9,TON
397,1/17/2016,Mandalajati,2.6,TON
398,1/17/2016,Cibiru,1.1,TON
399,1/17/2016,Ujungberung,1.7,TON
400,1/17/2016,Cicendo,1.4,TON
401,1/17/2016,Cibeunying Kidul,2.3,TON
402,1/17/2016,Cibeunying Kaler,1.7,TON
403,1/17/2016,Kiaracondong,1.9,TON
404,1/17/2016,Mandalajati,2,TON
405,1/18/2016,Sumur Bandung,1.5,TON
406,1/18/2016,Bojongloa Kaler,1.1,TON
407,1/18/2016,Bandung Kidul,1.8,TON
408,1/18/2016,Babakan Ciparay,1.7,TON
409,1/18/2016,Bojongloa Kidul,2.7,TON
410,1/18/2016,Andir,2.2,TON
411,1/18/2016,Babakan Ciparay,2.1,TON
412,1/18/2016,Cibiru,2.5,TON
413,1/18/2016,Bojongloa Kidul,1.7,TON
414,1/18/2016,Cicendo,2.5,TON
415,1/18/2016,Bandung Kidul,1.3,TON
416,1/18/2016,Bandung Wetan,2.3,TON
417,1/18/2016,Sukasari,1.7,TON
418,1/18/2016,Bojongloa Kaler,1.5,TON
419,1/18/2016,Sukasari,1.8,TON
420,1/18/2016,Sumur Bandung,1.8,TON
421,1/18/2016,Antapani,2.3,TON
422,1/18/2016,Sukajadi,1.6,TON
423,1/18/2016,Astana Anyar,2.2,TON
424,1/18/2016,Coblong,2.3,TON
425,1/18/2016,Cicendo,1.7,TON
426,1/18/2016,Coblong,1.6,TON
427,1/18/2016,Panyileukan,2.4,TON
428,1/18/2016,Coblong,1.5,TON
429,1/18/2016,Ujungberung,1.5,TON
430,1/18/2016,Cinambo,1.2,TON
431,1/19/2016,Cinambo,1.5,TON
432,1/19/2016,Gedebage,2.5,TON
433,1/19/2016,Sumur Bandung,2.4,TON
434,1/19/2016,Buahbatu,1.7,TON
435,1/19/2016,Gedebage,2.7,TON
436,1/19/2016,Bojongloa Kaler,2.5,TON
437,1/19/2016,Lengkong,1.7,TON
438,1/19/2016,Astana Anyar,2.1,TON
439,1/19/2016,Mandalajati,1.9,TON
440,1/19/2016,Babakan Ciparay,2.4,TON
441,1/19/2016,Bojongloa Kaler,1.1,TON
442,1/19/2016,Andir,2.5,TON
443,1/19/2016,Astana Anyar,1.3,TON
444,1/19/2016,Cibiru,1.3,TON
445,1/19/2016,Buahbatu,2.2,TON
446,1/19/2016,Panyileukan,1.9,TON
447,1/19/2016,Cibeunying Kidul,2.6,TON
448,1/19/2016,Sukajadi,1.7,TON
449,1/19/2016,Cicendo,2,TON
450,1/19/2016,Cibiru,2.3,TON
451,1/19/2016,Babakan Ciparay,2.2,TON
452,1/19/2016,Bandung Kidul,1.8,TON
453,1/19/2016,Babakan Ciparay,2.5,TON
454,1/19/2016,Gedebage,2.2,TON
455,1/19/2016,Bojongloa Kidul,2.5,TON
456,1/19/2016,Bandung Kulon,2.6,TON
457,1/20/2016,Cibiru,2.7,TON
458,1/20/2016,Batununggal,1.6,TON
459,1/20/2016,Panyileukan,2.2,TON
460,1/20/2016,Bojongloa Kidul,2.7,TON
461,1/20/2016,Rancasari,1.3,TON
462,1/20/2016,Sumur Bandung,1.9,TON
463,1/20/2016,Buahbatu,1.5,TON
464,1/20/2016,Bojongloa Kaler,2,TON
465,1/20/2016,Sumur Bandung,1.1,TON
466,1/20/2016,Batununggal,1.1,TON
467,1/20/2016,Cicendo,2,TON
468,1/20/2016,Regol,2.1,TON
469,1/20/2016,Andir,2.1,TON
470,1/20/2016,Bandung Wetan,1.2,TON
471,1/20/2016,Gedebage,1.1,TON
472,1/20/2016,Cibeunying Kaler,2.3,TON
473,1/20/2016,Sumur Bandung,2.2,TON
474,1/20/2016,Antapani,1.5,TON
475,1/20/2016,Bandung Kidul,1.4,TON
476,1/20/2016,Sukasari,1.6,TON
477,1/20/2016,Regol,2,TON
478,1/20/2016,Gedebage,2.1,TON
479,1/20/2016,Cibeunying Kaler,1.7,TON
480,1/20/2016,Cidadap,1.9,TON
481,1/20/2016,Cinambo,2.7,TON
482,1/20/2016,Sukasari,1.7,TON
483,1/20/2016,Cibeunying Kidul,2,TON
484,1/21/2016,Batununggal,1.8,TON
485,1/21/2016,Cibeunying Kidul,1.4,TON
486,1/21/2016,Bandung Kulon,1.1,TON
487,1/21/2016,Cidadap,2.3,TON
488,1/21/2016,Regol,1.3,TON
489,1/21/2016,Gedebage,2.7,TON
490,1/21/2016,Mandalajati,1.3,TON
491,1/21/2016,Coblong,1.7,TON
492,1/21/2016,Andir,1.6,TON
493,1/21/2016,Bandung Kidul,2.4,TON
494,1/21/2016,Regol,1.7,TON
495,1/21/2016,Sukasari,2.5,TON
496,1/21/2016,Sukasari,2.2,TON
497,1/21/2016,Cidadap,2.5,TON
498,1/21/2016,Buahbatu,1.1,TON
499,1/21/2016,Mandalajati,2,TON
500,1/21/2016,Cinambo,1.7,TON
501,1/21/2016,Bandung Kulon,2.2,TON
502,1/21/2016,Ujungberung,2.6,TON
503,1/21/2016,Cibeunying Kaler,2.6,TON
504,1/21/2016,Cibeunying Kidul,1.7,TON
505,1/21/2016,Antapani,1.1,TON
506,1/21/2016,Cibiru,2.6,TON
507,1/21/2016,Andir,1.9,TON
508,1/22/2016,Babakan Ciparay,2.6,TON
509,1/22/2016,Kiaracondong,1.7,TON
510,1/22/2016,Cicendo,1.9,TON
511,1/22/2016,Batununggal,2.6,TON
512,1/22/2016,Bandung Wetan,2,TON
513,1/22/2016,Bandung Kidul,2.7,TON
514,1/22/2016,Antapani,1.5,TON
515,1/22/2016,Gedebage,1.4,TON
516,1/22/2016,Cibiru,1.9,TON
517,1/22/2016,Cidadap,2.7,TON
518,1/22/2016,Panyileukan,2.4,TON
519,1/22/2016,Sukajadi,2.1,TON
520,1/22/2016,Cicendo,1.5,TON
521,1/22/2016,Bandung Wetan,1.4,TON
522,1/22/2016,Cinambo,2.6,TON
523,1/22/2016,Bandung Kidul,2.2,TON
524,1/22/2016,Regol,1.2,TON
525,1/22/2016,Cibeunying Kaler,1.3,TON
526,1/22/2016,Arcamanik,1.4,TON
527,1/22/2016,Buahbatu,2.2,TON
528,1/22/2016,Andir,1.9,TON
529,1/22/2016,Lengkong,1.6,TON
530,1/22/2016,Cibeunying Kidul,1.9,TON
531,1/22/2016,Bojongloa Kidul,1.1,TON
532,1/22/2016,Astana Anyar,2.7,TON
533,1/22/2016,Babakan Ciparay,1.5,TON
534,1/22/2016,Bandung Kulon,1.6,TON
535,1/22/2016,Andir,2.1,TON
536,1/23/2016,Arcamanik,2.6,TON
537,1/23/2016,Babakan Ciparay,1.2,TON
538,1/23/2016,Cinambo,1.6,TON
539,1/23/2016,Cibeunying Kaler,2.7,TON
540,1/23/2016,Regol,1.2,TON
541,1/23/2016,Gedebage,2.5,TON
542,1/23/2016,Batununggal,2.5,TON
543,1/23/2016,Ujungberung,2.1,TON
544,1/23/2016,Batununggal,2.4,TON
545,1/23/2016,Cibiru,2,TON
546,1/23/2016,Bandung Wetan,1.9,TON
547,1/23/2016,Batununggal,2.2,TON
548,1/23/2016,Bojongloa Kidul,2,TON
549,1/23/2016,Coblong,2.3,TON
550,1/23/2016,Kiaracondong,1.3,TON
551,1/23/2016,Bojongloa Kidul,1.5,TON
552,1/23/2016,Mandalajati,2.3,TON
553,1/23/2016,Cibiru,1.7,TON
554,1/23/2016,Babakan Ciparay,1.9,TON
555,1/23/2016,Rancasari,2.7,TON
556,1/23/2016,Bojongloa Kaler,2.7,TON
557,1/23/2016,Bandung Kulon,2.7,TON
558,1/23/2016,Cibeunying Kaler,1.8,TON
559,1/23/2016,Gedebage,1.2,TON
560,1/23/2016,Cibeunying Kidul,1.8,TON
561,1/23/2016,Babakan Ciparay,1.9,TON
562,1/23/2016,Bandung Kidul,2.3,TON
563,1/24/2016,Sukasari,2.6,TON
564,1/24/2016,Rancasari,1.5,TON
565,1/24/2016,Ujungberung,2.1,TON
566,1/24/2016,Kiaracondong,1.5,TON
567,1/24/2016,Cibeunying Kidul,1.8,TON
568,1/24/2016,Cibeunying Kaler,2,TON
569,1/24/2016,Buahbatu,1.8,TON
570,1/24/2016,Cinambo,2.1,TON
571,1/24/2016,Antapani,2.3,TON
572,1/24/2016,Mandalajati,1.7,TON
573,1/24/2016,Regol,2.5,TON
574,1/24/2016,Batununggal,1.4,TON
575,1/24/2016,Buahbatu,1.3,TON
576,1/24/2016,Lengkong,1.1,TON
577,1/24/2016,Bojongloa Kidul,2.2,TON
578,1/24/2016,Bandung Kidul,1.9,TON
579,1/24/2016,Cidadap,1.4,TON
580,1/24/2016,Panyileukan,1.6,TON
581,1/24/2016,Coblong,2.6,TON
582,1/24/2016,Cibiru,1.5,TON
583,1/24/2016,Kiaracondong,1.5,TON
584,1/24/2016,Astana Anyar,2.5,TON
585,1/24/2016,Bojongloa Kaler,2.1,TON
586,1/24/2016,Lengkong,1.7,TON
587,1/24/2016,Sumur Bandung,1.5,TON
588,1/24/2016,Kiaracondong,1.4,TON
589,1/24/2016,Antapani,1.8,TON
590,1/24/2016,Rancasari,2.7,TON
591,1/25/2016,Antapani,1.6,TON
592,1/25/2016,Cibeunying Kaler,2.7,TON
593,1/25/2016,Cibeunying Kidul,1.2,TON
594,1/25/2016,Kiaracondong,2.6,TON
595,1/25/2016,Bandung Kulon,2.4,TON
596,1/25/2016,Bandung Wetan,1.2,TON
597,1/25/2016,Cibiru,2.7,TON
598,1/25/2016,Ujungberung,1.8,TON
